			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
迟缓大法	迟缓大法	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{迟缓大法}

减缓被选中敌军的行动速度。"	"{初级迟缓大法}

减缓被选中敌军的行动速度。"	"{中级迟缓大法}

减缓被选中敌军的行动速度。

效果是初级的2倍。"	"{高级迟缓大法}

减缓所有敌军的行动速度。

效果是初级的2倍。"	 COMBAT_SPELL|CREATURE_TARGET_2
屠戮成性	屠戮成性	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{屠戮成性}

被选中的我方部队在进攻比蒙、龙和九头怪时攻击力提高。"	"{初级屠戮成性}

被选中的我方部队在进攻比蒙、龙和九头怪时攻击力提高。
"	"{中级屠戮成性}

被选中的我方部队在进攻比蒙、龙、九头怪、恶魔和天使时攻击力提高。
"	"{高级屠戮成性}

被选中的我方部队在进攻比蒙、龙、九头怪、恶魔、天使及泰坦巨人时攻击力提高。
"	 COMBAT_SPELL|CREATURE_TARGET
孤注一掷	孤注一掷	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{孤注一掷}

以降低防御力为代价，提高被选中部队的攻击力。"	"{初级孤注一掷}

以降低防御力为代价，提高被选中部队的攻击力。
"	"{中级孤注一掷}

以降低防御力为代价，提高被选中部队的攻击力。

效果是初级的1.5倍。"	"{高级孤注一掷}

以降低防御力为代价，提高被选中部队的攻击力。

效果是初级的2倍。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
泰坦之箭	泰坦之箭	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{泰坦之箭}

600点杀伤力，施放者不消耗魔法值。"	"{泰坦之箭}

600点杀伤力，施放者不消耗魔法值。"	"{泰坦之箭}

600点杀伤力，施放者不消耗魔法值。"	"{泰坦之箭}

600点杀伤力，施放者不消耗魔法值。"	
反戈一击	反戈一击	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{反戈一击}

被选中的本方部队每一轮能有1次额外的反击。"	"{初级反戈一击}

被选中的本方部队每一轮能有1次额外的反击。
"	"{中级反戈一击}

被选中的本方部队每一轮能有2次额外的反击。
"	"{高级反戈一击}

所有的本方部队每一轮能有2次额外的反击。
"	 COMBAT_SPELL|CREATURE_TARGET_2
丧心病狂	丧心病狂	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{丧心病狂}

被选中的部队将不分敌友地攻击附近的部队。
"	"{初级丧心病狂}

被选中的部队将不分敌友地攻击附近的部队。
"	"{中级丧心病狂}

被选中的部队将不分敌友地攻击附近的部队。

攻击范围比初级大6格。"	"{高级丧心病狂}

被选中的部队将不分敌友地攻击附近的部队。

攻击范围比初级大18格。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
蛊惑人心	蛊惑人心	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{蛊惑人心}

暂时控制一支敌军。"	"{初级蛊惑人心}

暂时控制一支敌军。"	"{中级蛊惑人心}

暂时控制一支敌军。

可以控制的敌军生命值比初级高10点。
"	"{高级蛊惑人心}

暂时控制一支敌军。

可以控制的敌军生命值比初级高40点。
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
失忆大法	失忆大法	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{失忆大法}

使被选中的敌军半数无法进行远程攻击。"	"{初级失忆大法}

使被选中的敌军半数无法进行远程攻击。
"	"{中级失忆大法}

使被选中的敌军无法进行远程攻击。
"	"{高级失忆大法}

使所有的敌军无法进行远程攻击。"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
双目失明	双目失明	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{双目失明}

使生物双目失明，无法行动，在遭到攻击后其视力才能恢复，并在反击时攻击力减半。
"	"{初级双目失明}

使生物双目失明，无法行动，在遭到攻击后其视力才能恢复，并在反击时攻击力减半。
"	"{中级双目失明}

使生物双目失明，无法行动，在遭到攻击后其视力才能恢复，并在反击时攻击力为原来的1/4。
"	"{高级双目失明}

使生物双目失明，无法行动，在遭到攻击后其视力才能恢复，并且不能反击。"	 COMBAT_SPELL|CREATURE_TARGET
瞬间移动	瞬间移动	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{瞬间移动}

将被选中的我方部队瞬间传送到未被占据的目标格。
"	"{初级瞬间移动}

将被选中的我方部队瞬间传送到未被占据的目标格。

部队不能逾越城墙或护城河。"	"{中级瞬间移动}

将被选中的我方部队瞬间传送到未被占据的目标格。

部队不能逾越城墙。"	"{高级瞬间移动}

将被选中的我方部队瞬间传送到任何未被占据的目标格。
"	 COMBAT_SPELL|CREATURE_TARGET
驱除障碍	驱除障碍	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{驱除障碍}

除去战场上的一般障碍物，如树木、岩石等。"	"{初级驱除障碍}

除去战场上的一般障碍物，如树木、岩石等。
"	"{中级驱除障碍}

除去战场上的烈火魔墙或一般障碍物，如树木、岩石等。
"	"{高级驱除障碍}

除去战场上的一般障碍物或魔法障碍物。
"	 COMBAT_SPELL|OBSTACLE_TARGET
镜像大法	镜像大法	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{镜像大法}

复制一支选中的部队。如果受到攻击就会消失。

复制1-5 级的生物。"	"{初级镜像大法}

复制一支选中的部队。如果受到攻击就会消失。

复制1-5 级的生物。"	"{中级镜像大法}

复制一支选中的部队。如果受到攻击就会消失。

复制1-6 级的生物。"	"{高级镜像大法}

复制一支选中的部队。如果受到攻击就会消失。

复制任何等级的生物。"	 COMBAT_SPELL|CREATURE_TARGET
召唤火元素	召唤火元素	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{召唤火元素}

召唤火元素。一旦召唤成功，就不能再召唤其他元素。"	"{初级召唤火元素}

召唤火元素。一旦召唤成功，就不能再召唤其他元素。
"	"{中级召唤火元素}

召唤火元素。一旦召唤成功，就不能再召唤其他元素。

召唤数量大约是初级的1.5倍。
"	"{高级召唤火元素}

召唤火元素。一旦召唤成功，就不能再召唤其他元素。

召唤数量大约是初级的2倍。
"	 COMBAT_SPELL
召唤土元素	召唤土元素	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{召唤土元素}

召唤土元素。一旦召唤成功，就不能再召唤其他元素。"	"{初级召唤土元素}

召唤土元素。一旦召唤成功，就不能再召唤其他元素。
"	"{中级召唤土元素}

召唤土元素。一旦召唤成功，就不能再召唤其他元素

召唤数量大约是初级的1.5倍。
"	"{高级召唤土元素}

召唤土元素。一旦召唤成功，就不能再召唤其他元素。

召唤数量大约是初级的2倍。
"	 COMBAT_SPELL
召唤水元素	召唤水元素	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{召唤水元素}

召唤水元素。一旦召唤成功，就不能再召唤其他元素。"	"{初级召唤水元素}

召唤水元素。一旦召唤成功，就不能再召唤其他元素。
"	"{中级召唤水元素}

召唤水元素。一旦召唤成功，就不能再召唤其他元素。

召唤数量大约是初级1.5倍。
"	"{高级召唤水元素}

召唤水元素。一旦召唤成功，就不能再召唤其他元素。

召唤数量大约是初级的2倍。
"	 COMBAT_SPELL
召唤气元素	召唤气元素	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{召唤气元素}

召唤气元素。一旦成功，就不能再召唤其他元素。"	"{初级召唤气元素}

召唤气元素。一旦成功，就不能再召唤其他元素。"	"{中级召唤气元素}

召唤气元素。一旦成功，就不能再召唤其他元素。

召唤数量大约是初级的1.5倍。
"	"{高级召唤气元素}

召唤气元素。一旦成功，就不能再召唤其他元素。

召唤数量大约是初级的2倍。
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
石化之眼	石化之眼	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
剧毒	剧毒	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
束缚	束缚	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
疾病	疾病	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
麻痹	麻痹	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
衰老	衰老	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
死亡之雾	死亡之雾	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
霹雳	霹雳	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
去除辅助魔法	去除辅助魔法	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
死亡之眼	死亡之眼	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
毒液	毒液	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
