Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
知识使者	知识使者	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"每周增加英雄的知识 1-3 点"	
火元素使者	火元素使者	0	0	0	0	0	0	750	775	775	2	0	70	5	14	12	13	18	0	0	8	10	"自带御火奇术。
无惧。"	
土元素使者	土元素使者	0	0	0	0	0	0	750	775	775	2	0	70	5	13	14	10	14	0	0	8	10	"自带御土奇术。
无惧。"	
气元素使者	气元素使者	0	0	0	0	0	0	750	775	775	2	0	70	6	13	12	10	14	0	0	8	10	"自带御气奇术。
无惧。"	
水元素使者	水元素使者	0	0	0	0	0	0	750	775	775	2	0	80	5	13	12	10	14	0	0	8	10	"自带御水奇术。
无惧。"	
血污怪	血污怪	0	0	0	0	0	0	3500	5272	5931	1	0	250	8	20	20	25	45	0	0	2	5	"攻击邻近的所有敌人。
无惧。敌人不会反击。"	DOUBLE_WIDE | KING_1 | MULTI_HEADED
战争狂热者	战争狂热者	0	0	0	0	0	0	600	700	1000	2	0	40	8	14	10	10	12	24	0	6	10	"自带魔镜。
无惧。无肉搏处罚。"	SHOOTING_ARMY | const_no_melee_penalty
极地神射手	极地神射手	0	0	0	0	0	0	500	500	700	3	0	15	9	13	10	8	10	32	0	8	12	"射击无视距离或障碍。
无惧。自带气盾。"	SHOOTING_ARMY | const_no_wall_penalty
熔岩神射手	熔岩神射手	0	0	0	0	0	0	500	500	700	3	0	15	9	12	11	8	10	32	0	8	12	"射击无视距离或障碍。
无惧。自带火盾。"	SHOOTING_ARMY | const_no_wall_penalty
梦魇兽	梦魇兽	0	0	0	0	0	0	1500	2050	2400	2	0	110	9	18	16	20	24	0	0	5	10	"强力死亡凝视。无惧。
免疫精神魔法。"	DOUBLE_WIDE
圣侏儒	圣侏儒	0	0	0	0	0	0	200	500	200	1	0	5	5	5	5	2	3	0	1000	20	50	"霹雳寒冰攻击。给予礼物。
召唤守卫。"	0
圣骑士	圣骑士	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
圣师	圣师	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
圣堂守卫	圣堂守卫	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
女妖	女妖	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
摄魂使者	摄魂使者	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
嗜杀者	嗜杀者	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
食人魔领袖	食人魔领袖	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
萨满	萨满	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
星界灵	星界灵	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
圣骑士	圣骑士	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
圣师	圣师	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
圣堂守卫	圣堂守卫	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
女妖	女妖	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
摄魂使者	摄魂使者	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
嗜杀者	嗜杀者	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
食人魔领袖	食人魔领袖	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
萨满	萨满	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
星界灵	星界灵	0	0	0	0	0	0	140	130	156	9	0	50	5	5	5	10	10	24	0	16	25		SHOOTING_ARMY
森林半人马	森林半人马	0	0	0	0	0	0	250	250	400	7	0	15	8	10	5	4	6	24	0	10	15	射击2次。
振奋。	SHOOTING_ARMY | const_two_attacks
女巫	女巫	0	0	0	0	0	0	600	800	1150	2	0	35	8	15	13	10	13	24	0	5	12	魔法攻击者。	SHOOTING_ARMY
变狼人	变狼人	0	0	0	0	0	0	300	460	460	4	0	35	7	10	12	6	9	0	0	10	20	"变狼攻击（满月时效果加倍）。
满月时发狂攻击：日 14-16"	0
地狱战马	地狱战马	0	0	0	0	0	0	1100	1850	2150	2	0	100	8	15	15	18	24	0	0	5	10	自带火盾。火墙攻击。
免疫火魔法。	DOUBLE_WIDE
龙巫妖	龙巫妖	0	15	0	0	0	0	25000	40000	55000	1	1	800	16	45	45	50	80	5	0	1	3	丧尸。-1 敌军士气。20%的魔法抵抗力。20%的格挡。	DOUBLE_WIDE
